truth_table,bias,algebraic_degree,input_symmetries,influence_0,influence_1,influence_2,fourier_energy_degree_0,fourier_energy_degree_1,fourier_energy_degree_2,fourier_energy_degree_3,semantic_pc1,semantic_pc2
22,-0.25,3,6,0.75,0.75,0.75,0.0625,0.1875,0.1875,0.5625,2.402558658519199,3.65070705307192
23,0.0,2,6,0.5,0.5,0.5,0.0,0.75,0.0,0.25,-0.7235733047655643,2.395973916776539
24,-0.5,2,2,0.5,0.5,0.5,0.25,0.0,0.75,0.0,0.6554272280448865,0.6788045150866956
25,-0.25,3,2,0.25,0.75,0.75,0.0625,0.1875,0.6875,0.0625,1.4179568608234154,-0.735468594490213
26,-0.25,3,1,0.25,0.75,0.75,0.0625,0.1875,0.6875,0.0625,1.4218533384489056,-1.1790984317591626
27,0.0,2,1,0.5,0.5,0.5,0.0,0.5,0.5,0.0,-0.017318404324203906,-0.7045660593799672
28,-0.25,3,1,0.25,0.75,0.75,0.0625,0.1875,0.6875,0.0625,1.4218533384489056,-1.1790984317591626
29,0.0,2,1,0.5,0.5,0.5,0.0,0.5,0.5,0.0,-0.017318404324203906,-0.7045660593799672
30,0.0,2,2,0.5,0.5,1.0,0.0,0.25,0.5,0.25,1.6726307839381622,-0.15496618946473198
31,0.25,3,2,0.25,0.25,0.75,0.0625,0.6875,0.1875,0.0625,-1.349027533590283,-0.7873642498519036
32,-0.75,3,2,0.25,0.25,0.25,0.5625,0.1875,0.1875,0.0625,-2.3763614918028875,1.8685379817089944
33,-0.5,2,2,0.5,0.5,0.5,0.25,0.25,0.25,0.25,-0.03134528426902256,1.561195304898453
34,-0.5,2,1,0.0,0.5,0.5,0.25,0.5,0.25,0.0,-1.7144090271551857,-0.6117000410450731
35,-0.25,3,1,0.25,0.25,0.75,0.0625,0.6875,0.1875,0.0625,-1.3451310559647929,-1.2309940871208531
36,-0.5,2,2,0.5,0.5,0.5,0.25,0.0,0.75,0.0,0.6554272280448865,0.6788045150866956
37,-0.25,3,2,0.25,0.75,0.75,0.0625,0.1875,0.6875,0.0625,1.4179568608234154,-0.735468594490213
38,-0.25,3,1,0.25,0.75,0.75,0.0625,0.1875,0.6875,0.0625,1.4218533384489056,-1.1790984317591626
39,0.0,2,1,0.5,0.5,0.5,0.0,0.5,0.5,0.0,-0.017318404324203906,-0.7045660593799672
40,-0.5,2,2,0.5,0.5,0.5,0.25,0.25,0.25,0.25,-0.03134528426902256,1.561195304898453
41,-0.25,3,2,0.75,0.75,0.75,0.0625,0.1875,0.1875,0.5625,2.4181445690211603,1.8761877039961212
42,-0.25,3,2,0.25,0.25,0.75,0.0625,0.6875,0.1875,0.0625,-1.349027533590283,-0.7873642498519036
43,0.0,2,2,0.5,0.5,0.5,0.0,0.75,0.0,0.25,-0.707987394263603,0.6214545677007401
44,-0.25,3,1,0.25,0.75,0.75,0.0625,0.1875,0.6875,0.0625,1.4218533384489056,-1.1790984317591626
45,0.0,2,1,0.5,0.5,1.0,0.0,0.25,0.5,0.25,1.6765272615636526,-0.5985960267336816
46,0.0,2,1,0.5,0.5,0.5,0.0,0.5,0.5,0.0,-0.017318404324203906,-0.7045660593799672
47,0.25,3,1,0.25,0.25,0.75,0.0625,0.6875,0.1875,0.0625,-1.3451310559647929,-1.2309940871208531
48,-0.5,2,1,0.0,0.5,0.5,0.25,0.5,0.25,0.0,-1.7144090271551857,-0.6117000410450731
49,-0.25,3,1,0.25,0.25,0.75,0.0625,0.6875,0.1875,0.0625,-1.3451310559647929,-1.2309940871208531
50,-0.25,3,2,0.25,0.25,0.75,0.0625,0.6875,0.1875,0.0625,-1.349027533590283,-0.7873642498519036
51,0.0,1,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-2.836083254445181,-1.7917620097027362
52,-0.25,3,1,0.25,0.75,0.75,0.0625,0.1875,0.6875,0.0625,1.4218533384489056,-1.1790984317591626
53,0.0,2,1,0.5,0.5,0.5,0.0,0.5,0.5,0.0,-0.017318404324203906,-0.7045660593799672
